ACFT_ID;Profile_ID;Stage Length;Step Number;Step Type;Thrust Rating;Flap_ID;End Point Altitude (ft);Rate Of Climb (ft/min);End Point CAS (kt);Accel Percentage (%)
720B;DEFAULT;2;9;Climb;MaxClimb;ZERO;10000.0;;;
720B;DEFAULT;3;1;Takeoff;MaxTakeoff;20;;;;
720B;DEFAULT;3;2;Climb;MaxTakeoff;20;1000.0;;;
720B;DEFAULT;3;3;Accelerate;MaxTakeoff;20;;2323.0;183.0;
720B;DEFAULT;3;4;Accelerate;MaxClimb;INT;;1000.0;203.0;
720B;DEFAULT;3;5;Climb;MaxClimb;ZERO;3000.0;;;
720B;DEFAULT;3;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
720B;DEFAULT;3;7;Climb;MaxClimb;ZERO;5500.0;;;
720B;DEFAULT;3;8;Climb;MaxClimb;ZERO;7500.0;;;
720B;DEFAULT;3;9;Climb;MaxClimb;ZERO;10000.0;;;
720B;DEFAULT;4;1;Takeoff;MaxTakeoff;20;;;;
720B;DEFAULT;4;2;Climb;MaxTakeoff;20;1000.0;;;
720B;DEFAULT;4;3;Accelerate;MaxTakeoff;20;;2125.0;189.0;
720B;DEFAULT;4;4;Accelerate;MaxClimb;INT;;1000.0;209.0;
720B;DEFAULT;4;5;Climb;MaxClimb;ZERO;3000.0;;;
720B;DEFAULT;4;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
720B;DEFAULT;4;7;Climb;MaxClimb;ZERO;5500.0;;;
720B;DEFAULT;4;8;Climb;MaxClimb;ZERO;7500.0;;;
720B;DEFAULT;4;9;Climb;MaxClimb;ZERO;10000.0;;;
720B;DEFAULT;5;1;Takeoff;MaxTakeoff;20;;;;
720B;DEFAULT;5;2;Climb;MaxTakeoff;20;1000.0;;;
720B;DEFAULT;5;3;Accelerate;MaxTakeoff;20;;2005.0;193.0;
720B;DEFAULT;5;4;Accelerate;MaxClimb;INT;;1000.0;213.0;
720B;DEFAULT;5;5;Climb;MaxClimb;ZERO;3000.0;;;
720B;DEFAULT;5;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
720B;DEFAULT;5;7;Climb;MaxClimb;ZERO;5500.0;;;
720B;DEFAULT;5;8;Climb;MaxClimb;ZERO;7500.0;;;
720B;DEFAULT;5;9;Climb;MaxClimb;ZERO;10000.0;;;
727100;DEFAULT;1;1;Takeoff;MaxTakeoff;5;;;;
727100;DEFAULT;1;2;Climb;MaxTakeoff;5;1000.0;;;
727100;DEFAULT;1;3;Accelerate;MaxTakeoff;5;;1342.0;160.0;
727100;DEFAULT;1;4;Accelerate;MaxTakeoff;2;;1342.0;190.0;
727100;DEFAULT;1;5;Accelerate;MaxClimb;ZERO;;1000.0;200.0;
727100;DEFAULT;1;6;Climb;MaxClimb;ZERO;3000.0;;;
727100;DEFAULT;1;7;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
727100;DEFAULT;1;8;Climb;MaxClimb;ZERO;5500.0;;;
727100;DEFAULT;1;9;Climb;MaxClimb;ZERO;7500.0;;;
727100;DEFAULT;1;10;Climb;MaxClimb;ZERO;10000.0;;;
727100;DEFAULT;2;1;Takeoff;MaxTakeoff;5;;;;
727100;DEFAULT;2;2;Climb;MaxTakeoff;5;1000.0;;;
727100;DEFAULT;2;3;Accelerate;MaxTakeoff;5;;1265.0;160.0;
727100;DEFAULT;2;4;Accelerate;MaxTakeoff;2;;1265.0;190.0;
727100;DEFAULT;2;5;Accelerate;MaxClimb;ZERO;;1000.0;200.0;
727100;DEFAULT;2;6;Climb;MaxClimb;ZERO;3000.0;;;
727100;DEFAULT;2;7;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
727100;DEFAULT;2;8;Climb;MaxClimb;ZERO;5500.0;;;
727100;DEFAULT;2;9;Climb;MaxClimb;ZERO;7500.0;;;
727100;DEFAULT;2;10;Climb;MaxClimb;ZERO;10000.0;;;
727100;DEFAULT;3;1;Takeoff;MaxTakeoff;5;;;;
727100;DEFAULT;3;2;Climb;MaxTakeoff;5;1000.0;;;
727100;DEFAULT;3;3;Accelerate;MaxTakeoff;5;;1192.0;165.0;
727100;DEFAULT;3;4;Accelerate;MaxTakeoff;2;;1192.0;195.0;
727100;DEFAULT;3;5;Accelerate;MaxClimb;ZERO;;1000.0;205.0;
727100;DEFAULT;3;6;Climb;MaxClimb;ZERO;3000.0;;;
727100;DEFAULT;3;7;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
727100;DEFAULT;3;8;Climb;MaxClimb;ZERO;5500.0;;;
727100;DEFAULT;3;9;Climb;MaxClimb;ZERO;7500.0;;;
727100;DEFAULT;3;10;Climb;MaxClimb;ZERO;10000.0;;;
727100;DEFAULT;4;1;Takeoff;MaxTakeoff;5;;;;
727100;DEFAULT;4;2;Climb;MaxTakeoff;5;1000.0;;;
727100;DEFAULT;4;3;Accelerate;MaxTakeoff;5;;1115.0;170.0;
727100;DEFAULT;4;4;Accelerate;MaxTakeoff;2;;1115.0;200.0;
727100;DEFAULT;4;5;Accelerate;MaxClimb;ZERO;;1000.0;210.0;
727100;DEFAULT;4;6;Climb;MaxClimb;ZERO;3000.0;;;
727100;DEFAULT;4;7;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
727100;DEFAULT;4;8;Climb;MaxClimb;ZERO;5500.0;;;
727100;DEFAULT;4;9;Climb;MaxClimb;ZERO;7500.0;;;
727100;DEFAULT;4;10;Climb;MaxClimb;ZERO;10000.0;;;
727D15;DEFAULT;1;1;Takeoff;MaxTakeoff;5;;;;
727D15;DEFAULT;1;2;Climb;MaxTakeoff;5;1000.0;;;
727D15;DEFAULT;1;3;Accelerate;MaxTakeoff;5;;1363.0;170.0;
