ACFT_ID;Thrust Rating;E;F;Ga;Gb;H;K1;K2;K3;K4
A320-211;IdleApproach;2858.8;-14.73251;0.0965368;-6.79E-6;0;;;;
A320-211;IdleApproachHiTemp;2858.8;-14.73251;0.0965368;-6.79E-6;0;;;;
A320-211;MaxClimb;16859.1;-4.3786;0.183576;2.99E-6;0;;;;
A320-211;MaxClimbHiTemp;19148.5;-6.50173;0;0;-95;;;;
A320-211;MaxTakeoff;23652.9;-22.93379;0.295879;-5.46E-6;0;;;;
A320-211;MaxTkoffHiTemp;27385.0;-23.29996;0;0;-132;;;;
A320-232;General;-65083.3;-7.25;-0.01918;2.58E-8;0;87817.6;-18693.1;;
A320-232;IdleApproach;1138.9;-6.52566;0.1667;-9.26E-6;0;;;;
A320-232;IdleApproachHiTemp;1138.9;-6.52566;0.1667;-9.26E-6;0;;;;
A320-232;MaxClimb;15539.2;-4.08932;0.438331;-1.44E-5;0;;;;
A320-232;MaxClimbHiTemp;14111.4;10.67953;0;0;-82.2;;;;
A320-232;MaxTakeoff;24746.2;-25.24732;0.304165;9.25E-6;0;;;;
A320-232;MaxTkoffHiTemp;29506.5;-24.41651;0;0;-139;;;;
A321-232;General;-26190.2;-6.6;-0.0197;-3.41E-7;0;33032.2;0;;
A321-232;IdleApproach;1274.1;-7.34054;0.175187;-1.15E-5;0;;;;
A321-232;IdleApproachHiTemp;1274.1;-7.34054;0.175187;-1.15E-5;0;;;;
A321-232;MaxClimb;21870.8;-21.48672;0.380647;-5.56E-6;0;;;;
A321-232;MaxClimbHiTemp;24158.5;-16.85039;0;0;-147;;;;
A321-232;MaxTakeoff;28636.4;-26.7318;0.249782;-3.92E-6;0;;;;
A321-232;MaxTkoffHiTemp;31608.2;-25.97356;0;0;-114;;;;
A330-301;General;-36339.3;-31.32;-0.1297;0;0;;;484.645;4.0056
A330-301;IdleApproach;4572.4;-26.0005;0.0134607;2.87E-6;0;;;;
A330-301;IdleApproachHiTemp;4572.4;-26.0005;0.0134607;2.87E-6;0;;;;
A330-301;MaxClimb;34249.9;25.9859;0.764157;-8.14E-7;0;;;;
A330-301;MaxClimbHiTemp;46667.8;10.51272;0;0;-346;;;;
A330-301;MaxTakeoff;61384.5;-48.4678;0.582821;-6.26E-6;0;;;;
A330-301;MaxTkoffHiTemp;69058.0;-46.46497;0;0;-288;;;;
A330-343;General;-127410.0;-9.31;-0.0386;5.69E-7;0;162922;-29498.6;;
A330-343;IdleApproach;3134.3;-13.03375;0.0859384;1.72E-6;0;;;;
A330-343;IdleApproachHiTemp;3134.3;-13.03375;0.0859384;1.72E-6;0;;;;
A330-343;MaxClimb;44462.0;-12.03102;0.711026;5.13E-6;0;;;;
A330-343;MaxClimbHiTemp;63522.4;-50.75035;0;0;-411;;;;
A330-343;MaxTakeoff;69831.0;-77.96763;0.882955;-2.69E-5;0;;;;
A330-343;MaxTkoffHiTemp;85732.2;-78.89567;0;0;-451;;;;
A340-211;General;19716.0;-17.65;-0.0878;0;0;;;-590.77;7.341
A340-211;IdleApproach;4019.5;-20.50795;-0.022712;1.17E-5;0;;;;
A340-211;IdleApproachHiTemp;4019.5;-20.50795;-0.022712;1.17E-5;0;;;;
A340-211;MaxClimb;26802.9;-28.82639;0.31673;3.5E-6;0;;;;
A340-211;MaxClimbHiTemp;31091.8;-31.44921;0;0;-160;;;;
A340-211;MaxTakeoff;29929.8;-30.77319;0.29922;-4.18E-6;0;;;;
A340-211;MaxTkoffHiTemp;34594.4;-30.09398;0;0;-175;;;;
A340-642;IdleApproach;6529.4;-29.95212;0.272155;-2.03E-5;0;;;;
A340-642;IdleApproachHiTemp;6529.4;-29.95212;0.272155;-2.03E-5;0;;;;
A340-642;MaxClimb;42621.6;-44.27843;0.484124;2.67E-7;0;;;;
A340-642;MaxClimbHiTemp;50112.0;-60.52619;0;0;-212;;;;
A340-642;MaxTakeoff;55248.1;-61.47442;0.506968;-9.63E-6;0;;;;
A340-642;MaxTkoffHiTemp;63276.8;-59.64575;0;0;-300;;;;
A350-941;IdleApproach;5473.2;-24.30572;0.0631198;-4.21E-6;0;;;;
A350-941;IdleApproachHiTemp;5473.2;-24.30572;0.0631198;-4.21E-6;0;;;;
A350-941;MaxClimb;67210.9;-82.70337;1.18939;-1.2074E-5;0;;;;
A350-941;MaxClimbHiTemp;76854.6;-75.67243;0;0;-466;;;;
A350-941;MaxTakeoff;84912.8;-101.987;0.940876;-8.31E-6;0;;;;
A350-941;MaxTkoffHiTemp;96170.0;-101.33962;0;0;-394;;;;
A380-841;IdleApproach;10914.8;-31.2899;-2.1424;0.000260636;0;;;;
A380-841;IdleApproachHiTemp;10914.8;-31.2899;-2.1424;0.000260636;0;;;;
A380-841;MaxClimb;63586.2;-53.92919;1.23082;-3.34E-5;0;;;;
A380-841;MaxClimbHiTemp;72974.3;-52.69926;0;0;-420;;;;
A380-841;MaxTakeoff;71176.1;-84.40516;0.220679;0.000428339;0;;;;
A380-841;MaxTkoffHiTemp;90820.8;-94.5354;0;0;-610;;;;
A380-861;IdleApproach;8921.7;-30.21526;-0.87777;0.000104691;0;;;;
A380-861;IdleApproachHiTemp;8921.7;-30.21526;-0.87777;0.000104691;0;;;;
A380-861;MaxClimb;66053.2;-61.75401;0.977183;-2.52E-5;0;;;;
A380-861;MaxClimbHiTemp;73729.7;-65.18945;0;0;-324;;;;
A380-861;MaxTakeoff;70053.6;-76.09314;0.838794;-1.08E-5;0;;;;
A380-861;MaxTkoffHiTemp;83320.5;-82.3362;0;0;-432;;;;
ATR72;MaxClimb;5635.2;-9.5;0.01127497;2.7E-7;0;;;;
ATR72;MaxTakeoff;7583.5;-20.3;0.13739942;-6.04E-6;0;;;;
BAC111;MaxClimb;9827.9;-5.89674;-0.019656;0;0;;;;
BAC111;MaxTakeoff;11168.1;-6.70084;-0.022336;0;0;;;;
BAE146;General;-13783.0;-9.9585;0.056057;-1.23E-5;0;;;304.295;-0.84327
BAE146;MaxClimb;6339.4;-9.9585;0.056057;-3.5E-6;0;;;;
BAE146;MaxTakeoff;6542.4;-9.9585;0.056057;-3.5E-6;0;;;;
BAE300;General;-13783.0;-9.9585;0.056057;-1.23E-5;0;;;304.295;-0.84327
BAE300;MaxClimb;6339.4;-9.9585;0.056057;-3.5E-6;0;;;;
BAE300;MaxTakeoff;6542.4;-9.9585;0.056057;-3.5E-6;0;;;;
CIT3;MaxClimb;2987.4;-3.4992;0.06123;-1.17E-6;0;;;;
CIT3;MaxTakeoff;3319.3;-3.888;0.068032;-1.3E-6;0;;;;
CL600;MaxClimb;5543.3;-5.6542;0.08442;0;0;;;;
CL600;MaxTakeoff;6159.2;-6.2824;0.0938;0;0;;;;
CL601;MaxClimb;6517.3;-6.6476;0.09776;0;0;;;;
CL601;MaxTakeoff;7241.4;-7.3862;0.10862;0;0;;;;
CNA208;MaxClimb;2953.9;-8.581;-0.004526;-7.2E-7;-1.44;;;;
CNA208;MaxTakeoff;3245.2;-11.69;-0.01053;-6.78E-7;-1.62;;;;
CNA500;General;1743.1;-1.64678;-0.002014;-1.56E-7;0;;;-49.6794;0.545
CNA500;MaxClimb;1919.5;-1.99614;0.0615;-2.41E-6;0;;;;
CNA500;MaxTakeoff;2132.8;-2.21793;0.068333;-2.67E-6;0;;;;
CNA510;General;4234.6;-1.68388;0.00104662;-5.78E-8;0;;;-103.817;0.811333
CNA510;MaxClimb;1486.0;-1.60533;0;-1.05E-7;0;;;;
CNA510;MaxTakeoff;1492.8;-1.87734;0;-2.55E-6;0;;;;
CNA525C;General;1528.4;-2.83667;-0.000127677;2.56E-7;0;;;-51.50512788;0.724013467
CNA525C;MaxClimb;3001.7;-2.38854;0.00458548;-1.4E-7;0;;;;
CNA525C;MaxTakeoff;3464.1;-2.5254;0.001980808;-1.46E-6;0;;;;
CNA55B;General;1373.8;-2.2903;-8.88E-5;3.23E-8;0;;;-44.861;0.66327
CNA55B;MaxClimb;2323.1;-2.4386;0.0021585;-2.15E-7;0;;;;
CNA55B;MaxTakeoff;2658.7;-2.6269;-0.00359;1.73E-7;0;;;;
CNA560E;General;1533.4;-2.49247;0.0119726;-6.91E-7;0;;;-53.9835;0.839574
CNA560E;MaxClimb;3194.3;-2.53358;0.0280378;2.71E-7;0;;;;
CNA560E;MaxTakeoff;3316.5;-2.7005;0.0434897;-6.53E-7;0;;;;
CNA560U;MaxClimb;2597.5;-2.22178;0.023780512;6.12E-8;0;;;;
CNA560U;MaxTakeoff;2920.0;-2.0264;0.025132542;2.95E-7;0;;;;
CNA560XL;MaxClimb;3454.5;-3.98132;-0.0704039;0;0;;;;
CNA560XL;MaxTakeoff;3838.3;-4.42368;-0.078227;0;0;;;;
CNA680;General;2904.8;-4.80092;-0.00173908;5.63E-7;0;;;-101.327;1.3401
CNA680;MaxClimb;5520.2;-5.32711;-0.0237667;1.9E-6;0;;;;
CNA680;MaxTakeoff;5683.0;-6.55907;-0.00158509;8.73E-7;0;;;;
CNA750;General;4778.6;-6.56521;0.000671172;-4.11E-7;0;;;-146.712;1.9748
CNA750;MaxClimb;6097.8;-7.0102;-0.00528468;3.75E-8;0;;;;
CNA750;MaxTakeoff;6127.8;-7.07624;-0.00394334;3.96E-8;0;;;;
CONCRD;MaxClimb;33252.1;-26.6;0.2328;0;0;;;;
CONCRD;MaxTakeoff;39653.0;-31.722;0.2776;0;0;;;;
CRJ9-ER;General;6087.3;-9.35507;-0.04736236;1.55E-7;-1.4767;;;-183.9266;2.785981
CRJ9-ER;IdleApproach;1163.1;-4.5855;-0.023795;1.64E-6;-0.0249;;;;
CRJ9-ER;MaxClimb;10438.3;-9.64192;0.1585496;-3.0E-7;-1.3095;;;;
CRJ9-ER;MaxClimbHiTemp;12973.4;-9.57675;-0.0558899;3.06E-7;-100.4151;;;;
CRJ9-ER;MaxTakeoff;13260.6;-16.6244;0.1984899;-7.0E-6;-1.6224;;;;
CRJ9-ER;MaxTkoffHiTemp;16247.3;-17.45752;0.0773409;-1.06E-5;-109.2192;;;;
CRJ9-LR;General;6087.3;-9.35507;-0.04736236;1.55E-7;-1.4767;;;-183.9266;2.785981
CRJ9-LR;IdleApproach;1163.1;-4.5855;-0.023795;1.64E-6;-0.0249;;;;
CRJ9-LR;MaxClimb;10438.3;-9.64192;0.1585496;-3.0E-7;-1.3095;;;;
CRJ9-LR;MaxClimbHiTemp;12973.4;-9.57675;-0.0558899;3.06E-7;-100.4151;;;;
CRJ9-LR;MaxTakeoff;13260.6;-16.6244;0.1984899;-7.0E-6;-1.6224;;;;
CRJ9-LR;MaxTkoffHiTemp;16247.3;-17.45752;0.0773409;-1.06E-5;-109.2192;;;;
DC1010;General;25027.6;-27.4313;-0.0782774;0;0;;;-694.556;8.02362
DC1010;MaxClimb;30596.0;-28.4416;-0.101635;5.09E-7;0;;;;
DC1010;MaxTakeoff;35985.4;-30.9909;-0.110745;5.55E-7;0;;;;
DC1030;MaxClimb;38520.0;-29.38;0.49;0;0;;;;
DC1030;MaxTakeoff;49310.0;-42.42;0.61;0;0;;;;
DC1040;General;-143602.0;-14.4996;-0.050256;0;0;204567;-54761.9;;
DC1040;MaxClimb;34087.9;-12.9859;-0.046405;2.32E-7;0;;;;
DC1040;MaxTakeoff;41594.9;-22.3071;-0.079714;3.99E-7;0;;;;
DC850;General;-22582.8;-6.58409;-0.0208084;0;0;29070.9;-4341.84;;
DC850;MaxClimb;14243.5;-5.6565;-0.020213;1.01E-7;0;;;;
DC850;MaxTakeoff;15670.3;-5.8955;-0.021067;1.06E-7;0;;;;
DC860;General;-27959.5;-6.35297;-0.0183499;0;0;35850.3;-6157.74;;
DC860;MaxClimb;15558.7;-7.2339;-0.02585;1.29E-7;0;;;;
DC860;MaxTakeoff;16740.5;-4.9394;-0.01765;8.84E-8;0;;;;
DC870;General;11106.0;-10.09;-0.0409;0;0;;;-369.8;4.835
